SCANNED_FILES=133
COMMAND	REFERENCES	FILES
asterisk	366	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/post-reset-setup.sh,/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/scripts/release-leakcheck.sh,/opt/franzfon/wizard/backend/src/index.js,/opt/franzfon/wizard/backend/src/routes/call-filter.js,/opt/franzfon/wizard/backend/src/routes/dev.js,/opt/franzfon/wizard/backend/src/routes/holdmusic.js,/opt/franzfon/wizard/backend/src/routes/selfheal.js,/opt/franzfon/wizard/backend/src/routes/status.js,/opt/franzfon/wizard/backend/src/routes/system.js,/opt/franzfon/wizard/backend/src/routes/voicemail.js,/opt/franzfon/wizard/backend/src/services/absence-profiles.js,/opt/franzfon/wizard/backend/src/services/ami-config.js,/opt/franzfon/wizard/backend/src/services/asterisk.js,/opt/franzfon/wizard/backend/src/services/backup.js,/opt/franzfon/wizard/backend/src/services/blf-status.js,/opt/franzfon/wizard/backend/src/services/blf.js,/opt/franzfon/wizard/backend/src/services/call-flow-transpiler.js,/opt/franzfon/wizard/backend/src/services/devices.js,/opt/franzfon/wizard/backend/src/services/disk-maintenance.js,/opt/franzfon/wizard/backend/src/services/dnd.js,/opt/franzfon/wizard/backend/src/services/fax.js,/opt/franzfon/wizard/backend/src/services/fritzbox.js,/opt/franzfon/wizard/backend/src/services/ivr.js,/opt/franzfon/wizard/backend/src/services/license-sse.js,/opt/franzfon/wizard/backend/src/services/license-sync.js,/opt/franzfon/wizard/backend/src/services/pbx.js,/opt/franzfon/wizard/backend/src/services/queue.js,/opt/franzfon/wizard/backend/src/services/recording-consent.js,/opt/franzfon/wizard/backend/src/services/recordings.js,/opt/franzfon/wizard/backend/src/services/smtp.js,/opt/franzfon/wizard/backend/src/services/sound-assets.js,/opt/franzfon/wizard/backend/src/services/sounds.js,/opt/franzfon/wizard/backend/src/services/support-report.js,/opt/franzfon/wizard/backend/src/services/transcription-worker.js,/opt/franzfon/wizard/backend/src/services/trunk-monitor.js,/opt/franzfon/wizard/backend/src/services/trunk-selftest.js,/opt/franzfon/wizard/backend/src/services/voip-push.js,/opt/franzfon/wizard/backend/src/services/wakeup.js,/opt/franzfon/wizard/backend/src/services/websocket.js
sqlite3	60	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/motd-banner.sh,/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/scripts/release-leakcheck.sh
ip	55	/opt/franzfon/scripts/motd-banner.sh,/opt/franzfon/wizard/backend/src/index.js,/opt/franzfon/wizard/backend/src/routes/fax.js,/opt/franzfon/wizard/backend/src/routes/phonebook.js,/opt/franzfon/wizard/backend/src/routes/provision.js,/opt/franzfon/wizard/backend/src/routes/voip-push.js,/opt/franzfon/wizard/backend/src/services/net-utils.js,/opt/franzfon/wizard/backend/src/services/network-check.js,/opt/franzfon/wizard/backend/src/services/pbx.js,/opt/franzfon/wizard/backend/src/services/support-report.js
systemctl	49	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/scripts/release-scrub.sh,/opt/franzfon/wizard/backend/src/routes/dev.js,/opt/franzfon/wizard/backend/src/routes/selfheal.js,/opt/franzfon/wizard/backend/src/services/backup.js,/opt/franzfon/wizard/backend/src/services/pbx.js,/opt/franzfon/wizard/backend/src/services/support-report.js,/usr/local/sbin/franzfon-firstboot.sh
node	42	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/build-release.sh,/opt/franzfon/wizard/backend/agi/fax-posthook.sh,/opt/franzfon/wizard/backend/src/services/call-flow-transpiler.js,/opt/franzfon/wizard/backend/src/services/contacts-import.js
python3	23	/opt/franzfon/scripts/build-release.sh,/opt/franzfon/wizard/backend/scripts/install-local-llm.py,/opt/franzfon/wizard/backend/scripts/summarize_local.py,/opt/franzfon/wizard/backend/scripts/transcribe.py,/opt/franzfon/wizard/backend/src/routes/aufnahmen.js,/opt/franzfon/wizard/backend/src/routes/settings.js,/opt/franzfon/wizard/backend/src/routes/voicemail.js,/opt/franzfon/wizard/backend/src/services/local-llm-provider.js,/opt/franzfon/wizard/backend/src/services/recording-transcriber.js,/opt/franzfon/wizard/backend/src/services/support-report.js,/opt/franzfon/wizard/backend/src/services/transcription-worker.js
mysql	19	/opt/franzfon/scripts/post-reset-setup.sh,/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/scripts/release-leakcheck.sh,/opt/franzfon/wizard/backend/src/db/cdr.js,/opt/franzfon/wizard/backend/src/services/backup.js,/opt/franzfon/wizard/backend/src/services/support-report.js
ffmpeg	18	/opt/franzfon/wizard/backend/src/routes/holdmusic.js,/opt/franzfon/wizard/backend/src/services/audio-chunker.js,/opt/franzfon/wizard/backend/src/services/audio-convert.js,/opt/franzfon/wizard/backend/src/services/ivr.js,/opt/franzfon/wizard/backend/src/services/pbx.js
rsync	12	/opt/franzfon/scripts/apply-update.sh,/opt/franzfon/scripts/build-release.sh
service	11	/opt/franzfon/scripts/prepare-iso.sh,/opt/franzfon/scripts/release-scrub.sh,/opt/franzfon/wizard/backend/src/index.js,/opt/franzfon/wizard/backend/src/routes/absence-profiles.js,/opt/franzfon/wizard/backend/src/routes/call-filter.js,/opt/franzfon/wizard/backend/src/routes/selfheal.js,/opt/franzfon/wizard/backend/src/services/fritzbox.js,/opt/franzfon/wizard/backend/src/services/pbx.js
